date|time|description|vendor|amount
2025-04-30|06:57:05.237678300|Gas|Caas|50.00
2025-04-30|10:16:46.400463900|Electric|City lights|-100.00
2025-04-30|13:35:39.111550800|Payroll|Self|-200.00
2025-04-30|14:42:12.943305700|Savings|Me|100.00
2025-04-30|14:42:34.807249700|Rent|Ana|300.00
2025-04-30|14:42:48.264001500|Gas bill|city gas|-50.00
2025-04-30|14:43:12.663832300|Subscription|Travel Buddy|-500.00
2025-05-01|10:21:22.043377600|Paycheck|payme|1000.00
2025-05-01|10:23:11.025801100|Car|Neighboor|-5000.000
2025-05-01|10:25:18.365549300|Cell phone bill|Verizon|-78.000
2025-05-01|10:59:28.814078700|Store|Walmart|-89.000
